Firm Name,Group,Joint Reporting,Reporting frequency,Reporting period,Semester,Complaints Received,Complaints Closed,Complaints Upheld (%)
Creation Financial Services Limited,BNP PARIBAS SA,no,Half Yearly,01-01-2021 to 30-06-2021,,"1,096","1,390",39.5%
Currys Retail Limited,NO GROUP,no,Half Yearly,01-11-2020 to 30-04-2021,,6,7,57.1%
Cynergy Bank Limited,CYNERGY CAPITAL LTD,no,Half Yearly,01-01-2021 to 30-06-2021,,2,2,100.0%
Damartex UK Limited,NO GROUP,no,Yearly,01-07-2020 to 30-06-2021,,"2,132","2,130",69.2%
Debt Managers (Services) Limited,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,"2,026","2,153",19.9%
Devitt Insurance Services Ltd,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,54,54,14.8%
Drydens Limited,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,620,639,31.9%
Elderbridge Limited,TECH MAHINDRA LIMITED,no,Half Yearly,01-10-2020 to 31-03-2021,,31,32,59.4%
EQUIFAX LIMITED,EQUIFAX INC,no,Half Yearly,01-01-2021 to 30-06-2021,,"5,745","5,341",31.6%
EUI Limited,ADMIRAL GROUP PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,990,"1,025",40.9%
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED,no,Half Yearly,01-01-2021 to 30-06-2021,,20,22,4.5%
Evergreen Finance London Limited,EVERGREEN FINANCE LONDON LIMITED,no,Yearly,01-07-2020 to 30-06-2021,,"2,023","2,015",23.2%
Everyday Lending Limited,NON-STANDARD FINANCE PLC,yes,Half Yearly,01-01-2021 to 30-06-2021,,"1,712","1,967",21.2%
Everyday Loans Limited,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,"2,379","2,700",24.6%
Experian Limited,NO GROUP,no,Half Yearly,01-10-2020 to 31-03-2021,,"19,289","18,653",22.6%
Extracover Limited,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,"2,681","2,421",33.7%
Fairmead Insurance Limited,ALLIANZ SE,no,Half Yearly,01-01-2021 to 30-06-2021,,0,2,100.0%
FCE Bank Plc,FORD MOTOR CO,no,Half Yearly,01-01-2021 to 30-06-2021,,948,970,67.9%
"FDR Limited, LLC",NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,537,550,41.8%
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,Half Yearly,01-01-2021 to 30-06-2021,,8,14,50.0%
First Response Finance Ltd,ITOCHU CORPORATION,no,Half Yearly,01-10-2020 to 31-03-2021,,644,654,62.2%
FirstRand Bank Limited,FIRSTRAND LIMITED,no,Half Yearly,01-01-2021 to 30-06-2021,,"3,884","3,843",54.2%
Foundation for Credit Counselling,FOUNDATION FOR CREDIT COUNSELLING,no,Half Yearly,01-01-2021 to 30-06-2021,,982,908,46.4%
Freemans Plc,FREEMAN GRATTAN HOLDINGS,no,Half Yearly,01-09-2020 to 28-02-2021,,"2,239","2,220",45.1%
Funding Circle Ltd,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,623,578,29.6%
Gain Credit LLC,LENDING STREAM LLC,no,Half Yearly,01-01-2021 to 30-06-2021,,"8,712","10,553",58.1%
Go Car Credit Limited,CARFICO LIMITED,no,Half Yearly,01-10-2020 to 31-03-2021,,722,742,48.7%
Grattan Plc,FREEMAN GRATTAN HOLDINGS,no,Half Yearly,01-09-2020 to 28-02-2021,,"2,604","2,601",48.0%
Hastings Insurance Services Limited,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,725,725,68.7%
Hitachi Capital (UK) PLC,NO GROUP,no,Half Yearly,01-10-2020 to 31-03-2021,,"5,393","6,860",58.7%
Hoist Finance UK Limited,HOIST FINANCE UK LIMITED,no,Half Yearly,01-01-2021 to 30-06-2021,,"1,694","1,649",32.3%
Homeserve Membership Limited,NO GROUP,no,Half Yearly,01-10-2020 to 31-03-2021,,27,16,31.3%
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,"12,205","13,127",54.8%
Hyundai Capital UK Limited,BANCO SANTANDER SA,no,Half Yearly,01-01-2021 to 30-06-2021,,568,557,40.4%
Indigo Michael Limited,ACCOUNT TECHNOLOGIES LIMITED,no,Half Yearly,01-09-2020 to 28-02-2021,,"3,128","2,626",91.5%
Insurance Factory Ltd,MARKERSTUDY HOLDINGS LIMITED,no,Half Yearly,01-01-2021 to 30-06-2021,,107,102,87.3%
Investec Bank PLC,INVESTEC PLC,no,Half Yearly,01-10-2020 to 31-03-2021,,7,6,50.0%
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,no,Half Yearly,01-09-2020 to 28-02-2021,,"6,204","5,140",24.3%
JAJA FINANCE LTD,BANK OF IRELAND GROUP PLC,no,Half Yearly,01-10-2020 to 31-03-2021,,"10,911","10,392",78.7%
Lantern Debt Recovery Services Ltd,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,840,778,14.0%
LeasePlan UK Limited,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,"1,848","1,576",74.7%
Lex Autolease Ltd,LLOYDS BANKING GROUP PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,"3,502","3,796",60.2%
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,106,105,86.7%
